,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,eyeDetection
0,4329.22998046875,4009.22998046875,4289.22998046875,4148.2099609375,4350.259765625,4586.14990234375,4096.919921875,4641.02978515625,4222.0498046875,4238.4599609375,4211.27978515625,4280.509765625,4635.89990234375,4393.85009765625,0
1,4324.6201171875,4004.6201171875,4293.85009765625,4148.72021484375,4342.0498046875,4586.669921875,4097.43994140625,4638.97021484375,4210.77001953125,4226.669921875,4207.68994140625,4279.490234375,4632.81982421875,4384.10009765625,0
2,4327.68994140625,,4295.3798828125,,4336.919921875,4583.58984375,4096.919921875,4630.259765625,4207.68994140625,4222.0498046875,4206.669921875,4282.0498046875,4628.72021484375,4389.22998046875,0
3,4328.72021484375,4011.7900390625,4296.41015625,4155.89990234375,4343.58984375,4582.56005859375,4097.43994140625,4630.77001953125,,4235.3798828125,4210.77001953125,4287.68994140625,4632.31005859375,4396.41015625,0
4,4326.14990234375,4011.7900390625,4292.31005859375,4151.27978515625,4347.68994140625,4586.669921875,4095.89990234375,4627.68994140625,4210.77001953125,4244.10009765625,4212.81982421875,4288.2099609375,4632.81982421875,4398.4599609375,0
5,4321.02978515625,4004.6201171875,4284.10009765625,,,4587.18017578125,4093.330078125,4616.919921875,4202.56005859375,4232.81982421875,4209.740234375,4281.02978515625,4628.2099609375,4389.740234375,0
6,4319.490234375,4001.030029296875,4280.509765625,4151.7900390625,4343.58984375,4584.6201171875,4089.739990234375,4615.89990234375,4212.31005859375,4226.669921875,4201.02978515625,4269.740234375,4625.1298828125,4378.4599609375,0
7,4325.64013671875,,4278.4599609375,4143.080078125,4344.10009765625,4583.080078125,4087.179931640625,4614.8701171875,,4230.259765625,,4266.669921875,4622.0498046875,4380.509765625,0
8,4326.14990234375,,4276.41015625,4139.490234375,4345.1298828125,,4091.280029296875,4608.2099609375,4187.68994140625,4229.740234375,4202.0498046875,4273.85009765625,4627.18017578125,4389.740234375,0
9,4326.14990234375,4011.280029296875,4276.919921875,4142.0498046875,4344.10009765625,4582.56005859375,,4608.72021484375,4194.35986328125,4228.72021484375,,,4637.43994140625,4393.330078125,0
10,4326.14990234375,,4272.81982421875,4143.080078125,4342.56005859375,4579.490234375,4087.68994140625,4615.89990234375,4206.14990234375,4228.72021484375,4210.77001953125,4272.81982421875,4631.7900390625,4382.56005859375,0
11,4316.919921875,4002.56005859375,4259.490234375,4135.89990234375,4339.490234375,4581.5400390625,4086.14990234375,4615.3798828125,4195.89990234375,,4197.43994140625,4262.0498046875,4613.330078125,4370.77001953125,0
12,4308.2099609375,3993.330078125,4247.68994140625,4124.6201171875,4335.89990234375,4584.6201171875,4089.739990234375,4610.259765625,4188.72021484375,4221.5400390625,4190.259765625,,4606.14990234375,4369.740234375,0
13,4308.2099609375,3998.4599609375,4251.7900390625,4122.56005859375,4338.4599609375,4584.6201171875,4091.280029296875,4616.919921875,4205.64013671875,4225.64013671875,4194.35986328125,4263.58984375,4610.259765625,4371.27978515625,0
14,4312.81982421875,4006.14990234375,4260.509765625,4127.68994140625,,4586.14990234375,4089.739990234375,4628.72021484375,4215.89990234375,4225.1298828125,4198.97021484375,,4611.7900390625,4375.89990234375,0
15,4313.85009765625,4003.590087890625,,4127.68994140625,4337.9501953125,4586.14990234375,4091.280029296875,4627.68994140625,4206.14990234375,4224.6201171875,4199.490234375,4269.22998046875,4610.259765625,4378.97021484375,0
16,,3997.949951171875,4247.18017578125,4122.56005859375,4336.919921875,,,4620.509765625,4202.56005859375,4226.14990234375,4193.85009765625,4254.35986328125,4606.14990234375,4369.740234375,0
17,,,4249.22998046875,4122.0498046875,4341.02978515625,4584.10009765625,4090.77001953125,4616.41015625,4203.58984375,4226.14990234375,4189.22998046875,4253.85009765625,4606.14990234375,4370.259765625,0
18,4312.31005859375,4000.0,4255.89990234375,,4342.0498046875,4586.669921875,4085.639892578125,4610.77001953125,4192.31005859375,4223.080078125,4192.31005859375,4264.6201171875,4614.8701171875,4382.0498046875,0
